Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
66,2025-04-25 04:00:00+01:00,2025-04-28 17:00:00+01:00,short,1.1330161094665527,1.140690924346447,-150.02762842278347,-1.5002762842278348,-1.0091207411638528,stop_loss
67,2025-04-28 17:00:00+01:00,2025-04-30 21:00:00+01:00,long,1.1415525674819946,1.1329630174040795,-147.6032707041371,-1.4760327070413708,-1.0081494373238453,stop_loss
68,2025-04-25 18:00:00+01:00,2025-05-01 02:00:00+01:00,long,1.138044834136963,1.1315521659851075,-150.2745200835505,-1.502745200835505,-1.0107813919274462,stop_loss
69,2025-04-22 13:00:00+01:00,2025-05-01 15:00:00+01:00,short,1.1475785970687866,1.127578429579735,370.3782164566304,3.703782164566304,0.0,take_profit
70,2025-05-02 09:00:00+01:00,2025-05-08 16:00:00+01:00,long,1.1337867975234985,1.1264510105252266,-146.63318947464492,-1.4663318947464492,-1.0095422617936547,stop_loss
71,2025-05-12 02:00:00+01:00,2025-05-14 09:00:00+01:00,short,1.12296462059021,1.12296462059021,-1.4237383361688887,-0.014237383361688886,0.0,stop_loss
72,2025-05-15 09:00:00+01:00,2025-05-16 15:00:00+01:00,long,1.1213276386260986,1.1162608528733253,-145.00232420524455,-1.4500232420524455,-1.0138154647572548,stop_loss
73,2025-05-15 18:00:00+01:00,2025-05-19 08:00:00+01:00,short,1.1174432039260864,1.1236522893905638,-144.6387994584447,-1.4463879945844471,-1.01127380197945,stop_loss
74,2025-05-22 11:00:00+01:00,2025-05-23 12:00:00+01:00,short,1.1295605897903442,1.1369318073391914,-139.99870849800698,-1.3999870849800697,-1.009496395885229,stop_loss
75,2025-05-23 06:00:00+01:00,2025-05-27 16:00:00+01:00,long,1.13275945186615,1.13275945186615,-1.3489794486450104,-0.013489794486450105,0.0,stop_loss
76,2025-05-30 15:00:00+01:00,2025-06-05 14:00:00+01:00,long,1.1357183456420898,1.146454307436943,339.1777900321867,3.391777900321867,0.0,take_profit
77,2025-06-03 13:00:00+01:00,2025-06-05 14:00:00+01:00,short,1.1384334564208984,1.1463107553720473,-137.7750424330582,-1.377750424330582,-1.008886294710167,stop_loss
78,2025-06-10 05:00:00+01:00,2025-06-10 14:00:00+01:00,short,1.1402509212493896,1.1447368830442428,-141.76063673444935,-1.4176063673444934,-1.0156042345434846,stop_loss
79,2025-06-11 11:00:00+01:00,2025-06-12 09:00:00+01:00,long,1.1442956924438477,1.1542077323794362,341.2135415374933,3.4121354153749333,0.0,take_profit
80,2025-06-09 09:00:00+01:00,2025-06-12 11:00:00+01:00,long,1.1431183815002441,1.1585187715291976,347.37026915420824,3.4737026915420826,0.0,take_profit
81,2025-06-10 14:00:00+01:00,2025-06-12 13:00:00+01:00,long,1.144688606262207,1.1633675754070278,347.64866980393884,3.4764866980393885,0.0,take_profit
82,2025-06-04 15:00:00+01:00,2025-06-24 15:00:00+01:00,long,1.1436413526535034,1.1635787227749823,340.20512448939894,3.4020512448939897,0.0,take_profit
83,2025-06-25 17:00:00+01:00,2025-06-27 13:00:00+01:00,long,1.1634671688079834,1.1750337365269659,392.86471634070483,3.928647163407048,0.0,take_profit
84,2025-07-02 10:00:00+01:00,2025-07-03 14:00:00+01:00,short,1.1773016452789307,1.1773016452789307,-2.4826365151986365,-0.024826365151986364,0.0,stop_loss
85,2025-07-03 15:00:00+01:00,2025-07-08 08:00:00+01:00,short,1.1756407022476196,1.1756407022476196,-1.8261264848840368,-0.01826126484884037,0.0,stop_loss
86,2025-07-08 14:00:00+01:00,2025-07-16 16:00:00+01:00,short,1.1710972785949707,1.1710972785949707,-1.8394015588421975,-0.018394015588421974,0.0,stop_loss
87,2025-07-10 15:00:00+01:00,2025-07-16 16:00:00+01:00,short,1.1682243347167969,1.1682243347167969,-1.5119821894130407,-0.015119821894130407,0.0,stop_loss
88,2025-07-21 08:00:00+01:00,2025-07-22 16:00:00+01:00,long,1.164686679840088,1.173243263661861,406.3502480318277,4.063502480318277,0.0,take_profit
89,2025-07-16 21:00:00+01:00,2025-07-28 14:00:00+01:00,long,1.1642799377441406,1.1642799377441406,-1.41271943268431,-0.0141271943268431,0.0,stop_loss
90,2025-08-05 08:00:00+01:00,2025-08-06 11:00:00+01:00,short,1.155001163482666,1.1597311298847197,-172.47004959009126,-1.7247004959009125,-1.0147992594555444,stop_loss
91,2025-08-08 00:00:00+01:00,2025-08-11 15:00:00+01:00,long,1.1680878400802612,1.161129168868065,-169.05141121920514,-1.6905141121920515,-1.0100593917811942,stop_loss
92,2025-08-08 11:00:00+01:00,2025-08-12 16:00:00+01:00,short,1.1640088558197021,1.1686718840003012,-169.880268829002,-1.69880268829002,-1.015011704259314,stop_loss
93,2025-08-11 13:00:00+01:00,2025-08-12 16:00:00+01:00,short,1.1623852252960205,1.1685354403853416,-169.27272566493326,-1.6927272566493325,-1.0113817157584528,stop_loss
94,2025-08-07 19:00:00+01:00,2025-08-13 08:00:00+01:00,short,1.162520408630371,1.1707230704426765,-168.796078832623,-1.6879607883262302,-1.0085338151933787,stop_loss
95,2025-08-15 10:00:00+01:00,2025-08-20 03:00:00+01:00,long,1.1690436601638794,1.1628854352235796,-158.99980962556012,-1.589998096255601,-1.011366911842066,stop_loss
96,2025-08-12 16:00:00+01:00,2025-08-22 04:00:00+01:00,long,1.1676785945892334,1.1596473042368889,-166.2686828370178,-1.6626868283701781,-1.008715909515034,stop_loss
97,2025-08-18 12:00:00+01:00,2025-08-22 15:00:00+01:00,short,1.1678149700164795,1.1678149700164795,-2.416338041173624,-0.024163380411736244,0.0,stop_loss
98,2025-08-19 19:00:00+01:00,2025-08-22 15:00:00+01:00,short,1.164958119392395,1.164958119392395,-2.109321275942625,-0.02109321275942625,0.0,stop_loss
99,2025-08-25 19:00:00+01:00,2025-09-01 07:00:00+01:00,short,1.16225004196167,1.1731942026615143,-153.2397819739149,-1.5323978197391488,-1.006396104911087,stop_loss
100,2025-08-27 22:00:00+01:00,2025-09-02 09:00:00+01:00,long,1.1640088558197021,1.1640088558197021,-1.6041639211665866,-0.016041639211665865,0.0,stop_loss
101,2025-09-09 16:00:00+01:00,2025-09-16 04:00:00+01:00,short,1.1726078987121582,1.1788618605136871,-151.6215144296303,-1.5162151442963032,-1.0111929049491295,stop_loss
102,2025-09-11 16:00:00+01:00,2025-09-17 19:00:00+01:00,long,1.1735711097717285,1.1914643470942972,373.3915563910347,3.733915563910347,0.0,take_profit
103,2025-09-22 13:00:00+01:00,2025-09-25 13:00:00+01:00,long,1.1786893606185913,1.1724339718222618,-154.98490747220617,-1.5498490747220617,-1.011190351595903,stop_loss
104,2025-09-24 09:00:00+01:00,2025-10-01 07:00:00+01:00,short,1.1775789260864258,1.1775789260864258,-2.0148751152457596,-0.020148751152457595,0.0,stop_loss
105,2025-10-02 09:00:00+01:00,2025-10-02 15:00:00+01:00,long,1.1757789850234985,1.171334815979004,-153.29182306792327,-1.5329182306792328,-1.015750976009051,stop_loss
106,2025-09-26 19:00:00+01:00,2025-10-02 16:00:00+01:00,long,1.1706860065460205,1.1706860065460205,-2.0765305053332184,-0.020765305053332184,0.0,stop_loss
107,2025-10-09 05:00:00+01:00,2025-10-09 15:00:00+01:00,long,1.164958119392395,1.1596473042368889,-150.54267989027346,-1.5054267989027346,-1.0131806507947139,stop_loss
108,2025-10-13 13:00:00+01:00,2025-10-15 07:00:00+01:00,short,1.157139539718628,1.163913412928581,-147.83821057196343,-1.4783821057196342,-1.0103338219996716,stop_loss
109,2025-10-29 04:00:00+00:00,2025-10-30 04:00:00+00:00,short,1.1637378931045532,1.1637378931045532,-2.535130028478676,-0.025351300284786757,0.0,stop_loss
110,2025-11-12 17:00:00+00:00,2025-11-17 13:00:00+00:00,long,1.1595547199249268,1.1595547199249268,-2.857852195026771,-0.028578521950267707,0.0,stop_loss
111,2025-11-14 17:00:00+00:00,2025-11-21 11:00:00+00:00,short,1.1618449687957764,1.15090780377388,357.87105776871556,3.578710577687155,0.0,take_profit
112,2025-12-02 21:00:00+00:00,2025-12-08 15:00:00+00:00,long,1.1627906560897827,1.1627906560897827,-2.840752729713801,-0.02840752729713801,0.0,stop_loss
113,2025-12-24 17:00:00+00:00,2026-01-05 13:00:00+00:00,short,1.1777175664901733,1.1664993618428707,371.0528683517093,3.710528683517093,0.0,take_profit
114,2026-01-16 17:00:00+00:00,2026-01-19 00:00:00+00:00,short,1.1599582433700562,1.1635074216127395,-157.974328185254,-1.57974328185254,-1.0197228753287628,stop_loss
115,2026-01-19 03:00:00+00:00,2026-01-20 11:00:00+00:00,long,1.1627906560897827,1.1736730547249312,378.9200218096185,3.7892002180961852,0.0,take_profit
116,2026-01-21 19:00:00+00:00,2026-01-22 16:00:00+00:00,short,1.1694538593292236,1.1751232577562332,-160.18676973330685,-1.6018676973330686,-1.012346988997371,stop_loss
